Angular Velocity, Run #2
Time ( s )	Angular Velocity ( rad/s )
0.0500	0.000
0.1500	-0.047
0.2500	-0.016
0.3500	-0.047
0.4500	-0.079
0.5500	-0.126
0.6500	-0.990
0.7500	-1.916
0.8500	-2.875
0.9500	-3.817
1.0500	-4.760
1.1500	-5.702
1.2500	-6.644
1.3500	-7.603
1.4500	-8.545
1.5500	-9.503
1.6500	-10.462
1.7500	-11.467
1.8500	-12.441
1.9500	-13.415
2.0500	-14.310
2.1500	-15.268
2.2500	-16.305
2.3500	-17.247
2.4500	-18.143
2.5500	-19.132
2.6500	-20.138
2.7500	-21.017
2.8500	-21.960
2.9500	-22.996
3.0500	-23.860
3.1500	-24.834
3.2500	-25.824
3.3500	-26.656
3.4500	-27.725
3.5500	-28.557
3.6500	-29.578
3.7500	-30.442
3.8500	-31.432
3.9500	-32.296
4.0500	-32.971
4.1500	-32.908
4.2500	-32.955
4.3500	-32.814
4.4500	-32.877
4.5500	-32.767
4.6500	-32.814
4.7500	-32.720
4.8500	-32.798
4.9500	-32.704
5.0500	-32.783
5.1500	-32.735
5.2500	-32.783
5.3500	-32.767
